hw25-grafana  | logger=settings t=2026-03-29T19:13:29.841591547Z level=info msg="Starting Grafana" version=12.4.2 commit=ebade4c739e1aface4ce094934ad85374887a680 branch=release-12.4.2 compiled=2026-03-29T19:13:29Z
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842360215Z level=info msg="Unified migration configs enforced"
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842398449Z level=info msg="Enforcing mode 5 for resource in unified storage" resource=playlists.playlist.grafana.app
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842469716Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842497509Z level=info msg="Config loaded from" file=/etc/grafana/grafana.ini
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.84250538Z level=info msg="Config overridden from command line" arg="default.paths.data=/var/lib/grafana"
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.84251124Z level=info msg="Config overridden from command line" arg="default.paths.logs=/var/log/grafana"
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842515551Z level=info msg="Config overridden from command line" arg="default.paths.plugins=/var/lib/grafana/plugins"
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842620851Z level=info msg="Config overridden from command line" arg="default.paths.provisioning=/etc/grafana/provisioning"
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842629612Z level=info msg="Config overridden from command line" arg="default.log.mode=console"
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842634163Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_DATA=/var/lib/grafana"
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842639713Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_LOGS=/var/log/grafana"
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842645504Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PLUGINS=/var/lib/grafana/plugins"
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842649414Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PROVISIONING=/etc/grafana/provisioning"
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842652875Z level=info msg="Config overridden from Environment variable" var="GF_SECURITY_ADMIN_USER=admin"
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842656075Z level=info msg="Config overridden from Environment variable" var="GF_SECURITY_ADMIN_PASSWORD=*********"
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842659835Z level=info msg=Target target=[all]
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842679907Z level=info msg="Path Home" path=/usr/share/grafana
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842723182Z level=info msg="Path Data" path=/var/lib/grafana
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842730953Z level=info msg="Path Logs" path=/var/log/grafana
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842735243Z level=info msg="Path Plugins" path=/var/lib/grafana/plugins
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842741144Z level=info msg="Path Provisioning" path=/etc/grafana/provisioning
hw25-grafana  | logger=settings t=2026-03-29T19:13:29.842744704Z level=info msg="App mode production"
hw25-grafana  | logger=featuremgmt t=2026-03-29T19:13:29.844800342Z level=info msg=FeatureToggles timeRangePan=true cloudWatchRoundUpEndTime=true kubernetesDashboards=true improvedExternalSessionHandlingSAML=true grafanaconThemes=true alertingRuleVersionHistoryRestore=true newFiltersUI=true logsExploreTableVisualisation=true alertingRuleRecoverDeleted=true alertingImportYAMLUI=true awsAsyncQueryCaching=true logsContextDatasourceUi=true azureMonitorPrometheusExemplars=true influxdbBackendMigration=true lokiQuerySplitting=true cloudWatchNewLabelParsing=true newLogsPanel=true azureMonitorEnableUserAuth=true alertingNotificationsStepMode=true enableSCIM=true alertingQueryAndExpressionsStepMode=true dashboardScene=true azureResourcePickerUpdates=true improvedExternalSessionHandling=true alertingUseNewSimplifiedRoutingHashAlgorithm=true publicDashboardsScene=true preventPanelChromeOverflow=true dashgpt=true newTimeRangeZoomShortcuts=true annotationPermissionUpdate=true alertingSaveStateCompressed=true onlyStoreActionSets=true cloudWatchCrossAccountQuerying=true logsPanelControls=true alertRuleRestore=true lokiLabelNamesQueryApi=true grafanaAssistantInProfilesDrilldown=true alertingRulePermanentlyDelete=true alertingMigrationUI=true useSessionStorageForRedirection=true newPanelPadding=true alertingUIOptimizeReducer=true sharingDashboardImage=true prometheusAzureOverrideAudience=true awsDatasourcesTempCredentials=true alertingBulkActionsInUI=true
hw25-grafana  | logger=sqlstore t=2026-03-29T19:13:29.844929076Z level=info msg="Connecting to DB" dbtype=sqlite3
hw25-grafana  | logger=sqlstore t=2026-03-29T19:13:29.844936196Z level=info msg="Using SQLite driver" driver="mattn/go-sqlite3 (CGO enabled)"
hw25-grafana  | logger=sqlstore t=2026-03-29T19:13:29.844965169Z level=info msg="Creating SQLite database file" path=/var/lib/grafana/grafana.db
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.84862528Z level=info msg="Locking database"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.848680026Z level=info msg="Starting DB migrations"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.850057301Z level=info msg="Executing migration" id="create migration_log table"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.851256587Z level=info msg="Migration successfully executed" id="create migration_log table" duration=1.200737ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.857996026Z level=info msg="Executing migration" id="create user table"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.858959344Z level=info msg="Migration successfully executed" id="create user table" duration=960.588탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.864766798Z level=info msg="Executing migration" id="add unique index user.login"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.86577284Z level=info msg="Migration successfully executed" id="add unique index user.login" duration=1.006492ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.872685801Z level=info msg="Executing migration" id="add unique index user.email"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.873972711Z level=info msg="Migration successfully executed" id="add unique index user.email" duration=1.289591ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.879335025Z level=info msg="Executing migration" id="drop index UQE_user_login - v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.880540377Z level=info msg="Migration successfully executed" id="drop index UQE_user_login - v1" duration=1.204772ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.885571219Z level=info msg="Executing migration" id="drop index UQE_user_email - v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.886583822Z level=info msg="Migration successfully executed" id="drop index UQE_user_email - v1" duration=1.002952ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.89287575Z level=info msg="Executing migration" id="Rename table user to user_v1 - v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.895908727Z level=info msg="Migration successfully executed" id="Rename table user to user_v1 - v1" duration=3.032878ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.900807524Z level=info msg="Executing migration" id="create user table v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.901485923Z level=info msg="Migration successfully executed" id="create user table v2" duration=674.279탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.907226575Z level=info msg="Executing migration" id="create index UQE_user_login - v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.90826081Z level=info msg="Migration successfully executed" id="create index UQE_user_login - v2" duration=1.034215ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.913515823Z level=info msg="Executing migration" id="create index UQE_user_email - v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.914560819Z level=info msg="Migration successfully executed" id="create index UQE_user_email - v2" duration=1.047277ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.920742862Z level=info msg="Executing migration" id="copy data_source v1 to v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.921571166Z level=info msg="Migration successfully executed" id="copy data_source v1 to v2" duration=828.964탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.927325239Z level=info msg="Executing migration" id="Drop old table user_v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.928262184Z level=info msg="Migration successfully executed" id="Drop old table user_v1" duration=937.815탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.933025063Z level=info msg="Executing migration" id="Add column help_flags1 to user table"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.93437434Z level=info msg="Migration successfully executed" id="Add column help_flags1 to user table" duration=1.349247ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.939782509Z level=info msg="Executing migration" id="Update user table charset"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.939846825Z level=info msg="Migration successfully executed" id="Update user table charset" duration=67.897탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.944531Z level=info msg="Executing migration" id="Add last_seen_at column to user"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.945637032Z level=info msg="Migration successfully executed" id="Add last_seen_at column to user" duration=1.108472ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.950158436Z level=info msg="Executing migration" id="Add missing user data"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.950533494Z level=info msg="Migration successfully executed" id="Add missing user data" duration=378.529탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.95537199Z level=info msg="Executing migration" id="Add is_disabled column to user"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.956626557Z level=info msg="Migration successfully executed" id="Add is_disabled column to user" duration=1.255168ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.961317488Z level=info msg="Executing migration" id="Add index user.login/user.email"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.962276695Z level=info msg="Migration successfully executed" id="Add index user.login/user.email" duration=959.928탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.96760231Z level=info msg="Executing migration" id="Add is_service_account column to user"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.968660748Z level=info msg="Migration successfully executed" id="Add is_service_account column to user" duration=1.060518ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:29.973538262Z level=info msg="Executing migration" id="Update is_service_account column to nullable"
